"INCIDENT_KEY","OCCUR_DATE","OCCUR_TIME","BORO","LOC_OF_OCCUR_DESC","PRECINCT","JURISDICTION_CODE","LOC_CLASSFCTN_DESC","LOCATION_DESC","STATISTICAL_MURDER_FLAG","PERP_AGE_GROUP","PERP_SEX","PERP_RACE","VIC_AGE_GROUP","VIC_SEX","VIC_RACE","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","New Georeferenced Column"
"299683365","01/18/2025","17:30:00","QUEENS","OUTSIDE","113","0","STREET","(null)","Y","45-64","M","BLACK","45-64","M","BLACK","1,053,262","194,744","40.70093491","-73.7511077","POINT (-73.7511077 40.70093491)"
"304483259","04/09/2025","16:58:00","BRONX","OUTSIDE","46","0","STREET","(null)","N","<18","M","BLACK HISPANIC","45-64","M","BLACK","1,012,701","253,506","40.86244422","-73.89714218","POINT (-73.89714218 40.86244422)"
"306522955","05/15/2025","13:02:00","BRONX","OUTSIDE","46","0","STREET","(null)","N","25-44","M","BLACK","45-64","M","BLACK","1,010,882","247,996","40.8473266","-73.90374022","POINT (-73.90374022 40.8473266)"
"306298652","05/12/2025","17:00:00","BRONX","OUTSIDE","42","0","STREET","(null)","Y","<18","M","BLACK","<18","F","BLACK","1,011,823","240,885","40.827815","-73.900368","POINT (-73.900368 40.827815)"
"305372450","04/26/2025","03:56:00","QUEENS","OUTSIDE","114","0","STREET","(null)","N","18-24","M","BLACK","25-44","M","ASIAN / PACIFIC ISLANDER","1,009,113","219,613","40.76942832","-73.91023928","POINT (-73.91023928 40.76942832)"
"308373655","06/19/2025","23:30:00","BROOKLYN","OUTSIDE","79","0","STREET","MULTI DWELL - APT BUILD","Y","(null)","(null)","(null)","25-44","M","BLACK","998,273","193,028","40.696493","-73.949429","POINT (-73.949429 40.696493)"
"300341223","01/31/2025","11:55:00","BROOKLYN","OUTSIDE","79","0","STREET","(null)","N","25-44","M","BLACK","25-44","F","WHITE HISPANIC","995,261","191,567","40.692485","-73.960292","POINT (-73.960292 40.692485)"
"305806355","05/04/2025","04:38:00","BROOKLYN","OUTSIDE","88","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","(null)","(null)","(null)","<18","M","BLACK","995,266","190,743","0","0","POINT (0 0)"
"300318398","01/30/2025","17:58:00","QUEENS","OUTSIDE","114","0","STREET","(null)","N","25-44","M","BLACK HISPANIC","25-44","M","BLACK","1,009,645","213,978","40.75397","-73.90834","POINT (-73.90834 40.75397)"
"300412111","02/01/2025","23:25:00","BROOKLYN","OUTSIDE","90","0","STREET","(null)","N","(null)","(null)","(null)","25-44","M","BLACK","1,000,063","196,456","40.70588893","-73.94296613","POINT (-73.94296613 40.70588893)"
